country,region,gdp_per_cap_usd,population,suicides_per_100k,gini,HDI,median_age,life_expectancy,household_debt_percent_GDP,happiness,sqrt_suicides,suicide_no
Germany,GLOBAL WEST,43201.0,78136683.0,12.9107093,31.4,0.933,46.8,80.64146341,53.3,6.75,3.5931475477636594,10087.99999879252
Greece,GLOBAL WEST,18927.0,10331286.0,5.120369333,35.8,0.866,44.2,81.03658537,62.21,4.857,2.2628233101592357,529.0000000485225
Grenada,LATIN AMER. & CARIB,10290.0,96892.0,0.0,37.42333333333333,0.767,30.9,72.445,70.11,6.162260273972603,0.0,0.0
Guatemala,LATIN AMER. & CARIB,4472.0,14258397.0,3.4646250910000003,48.7,0.645,21.7,73.25,23.76,6.122999999999998,1.861350340747276,494.0000000363913
Hungary,EASTERN EUROPE,13087.0,9389519.0,19.89452282,30.9,0.8340000000000001,41.8,75.56829268,21.29,4.8,4.460327658367712,1868.0000001432356
Iceland,GLOBAL WEST,54909.0,308554.0,12.96369517,25.6,0.927,36.3,82.46829268,82.88,7.561,3.60051318147844,39.9999999948418
Israel,MIDDLE EAST,39793.0,7516180.0,4.550183737,41.4,0.901,29.7,82.05121951,40.85,7.278,2.133115968952462,342.0000000036466
Italy,GLOBAL WEST,31537.0,58117697.0,6.861937423,34.7,0.8759999999999999,45.1,82.54390244,41.87,5.948,2.619530000400835,3987.999999828748
Japan,ASIA,36510.0,120376310.0,19.18317649,32.1,0.905,46.9,83.79390244,56.96,5.987,4.379860327681695,23091.99999944952
Kazakhstan,ASIA,11784.0,15646752.0,18.35524715,26.5,0.797,30.3,72.0,10.72,5.855,4.284302411128327,2872.000000547568
Kyrgyzstan,ASIA,1285.0,5195827.0,8.025671371,29.0,0.6659999999999999,26.2,73.51484485,58.79,5.2860000000000005,2.832961590103191,417.00000002568817
Latvia,EASTERN EUROPE,14382.0,1875522.0,20.63425542,35.1,0.841,43.3,74.4804878,24.5,5.098,4.542494405059846,386.9999999382924
Lithuania,EASTERN EUROPE,15073.0,2753926.0,32.53536951,37.7,0.852,43.4,74.32195122,22.16,5.832999999999998,5.703978393191896,896.0000001319626
Luxembourg,GLOBAL WEST,107456.0,537748.0,11.90148545,31.2,0.899,39.2,82.29268293,60.07,6.9460000000000015,3.4498529606346993,63.999999977666
Malta,GLOBAL WEST,25750.0,410637.0,8.279818915,29.4,0.871,41.5,81.89756098,53.03,6.3020000000000005,2.8774674481216986,33.999999997988546
Mauritius,SUB-SAHARAN AFRICA,10125.0,1154848.0,9.005514146,35.8,0.782,34.8,74.35317073,33.34,5.477,3.000918883608819,104.00000000479808
Mexico,LATIN AMER. & CARIB,10228.0,114357884.0,5.451307581,48.2,0.767,28.0,74.904,15.24,7.187,2.334803542270741,6233.9999999631855
Netherlands,GLOBAL WEST,47206.0,16057342.0,11.66444608,28.6,0.926,42.5,81.5097561,110.34,7.377999999999999,3.415325179247212,1872.9999994711936
